Date,Srad Wh/m2,year-DOY,Srad,Tmax,Tmin,Vapr,Tdew,RHmax,RHmin,Wndsp,Rain,ETref,MorP
4/11/2024,6275.8,2024-102,22.59,17.60,1.30,,,93.50,35.00,0.50,0.00,,M
4/12/2024,6280.1,2024-103,22.61,21.00,3.40,,,93.20,40.20,0.50,0.00,,M
4/13/2024,6361.0,2024-104,22.90,26.10,6.20,,,94.20,28.50,0.50,0.00,,M
4/14/2024,5166.1,2024-105,18.60,23.80,10.90,,,84.50,45.70,0.50,0.00,,M
4/15/2024,2561.3,2024-106,9.22,16.60,3.50,,,91.10,44.30,0.50,0.00,,M
4/16/2024,4621.3,2024-107,16.64,10.50,3.10,,,91.40,57.20,0.50,0.00,,M
4/17/2024,2859.4,2024-108,10.29,8.40,1.70,,,97.30,67.00,0.50,0.00,,M
4/18/2024,2830.3,2024-109,10.19,8.30,2.20,,,97.30,75.50,0.50,0.00,,M
4/19/2024,1304.5,2024-110,0.00,4.90,2.50,,,98.20,84.50,0.50,0.00,,M
4/20/2024,4141.8,2024-111,14.91,8.50,1.60,,,94.90,60.90,0.50,0.00,,M
4/21/2024,2704.7,2024-112,9.74,5.80,1.50,,,95.90,67.50,0.50,0.00,,M
4/22/2024,3010.3,2024-113,10.84,7.20,0.80,,,88.00,51.60,0.50,0.00,,M
4/23/2024,5295.6,2024-114,19.06,8.50,-1.00,,,91.80,51.30,0.50,0.00,,M
4/24/2024,2580.1,2024-115,9.29,6.10,-0.40,,,92.30,67.00,0.50,0.00,,M
4/25/2024,4393.8,2024-116,15.82,8.60,0.60,,,95.10,50.70,0.50,0.00,,M
4/26/2024,4185.6,2024-117,15.07,13.70,-0.40,,,95.60,53.80,0.50,0.00,,M
4/27/2024,7238.3,2024-118,26.06,20.60,4.60,,,96.40,26.30,0.50,0.00,,M
4/28/2024,3524.4,2024-119,12.69,18.30,8.10,,,78.90,50.00,0.50,0.00,,M
4/29/2024,5898.6,2024-120,21.23,20.70,8.50,,,90.50,47.70,0.50,0.00,,M
4/30/2024,6959.5,2024-121,25.05,26.10,7.70,,,95.10,25.00,0.50,0.00,,M
5/1/2024,6689.8,2024-122,24.08,25.20,8.20,,,89.80,31.20,0.50,0.00,,M
5/2/2024,3875.1,2024-123,13.95,19.70,9.80,,,94.90,64.20,0.50,0.00,,M
5/3/2024,2878.6,2024-124,10.36,13.30,9.30,,,92.90,63.40,0.50,0.00,,M
5/4/2024,4905.8,2024-125,17.66,18.50,5.70,,,97.70,42.20,0.50,0.00,,M
5/5/2024,4557.6,2024-126,16.41,18.70,11.70,,,96.10,64.30,0.50,0.00,,M
5/6/2024,1955.2,2024-127,7.04,28.00,21.00,,,97.10,80.10,0.50,0.00,,M
5/7/2024,3105.6,2024-128,11.18,28.50,20.00,,,95.00,73.60,0.50,0.00,,M
5/8/2024,1711.1,2024-129,6.16,28.50,20.00,,,97.40,70.70,0.50,0.00,,M
5/9/2024,4905.8,2024-130,17.66,28.00,20.00,,,97.40,70.70,0.50,0.00,,M
5/10/2024,7923.2,2024-131,28.52,34.00,19.00,,,95.60,36.20,0.50,0.00,,M
5/11/2024,7840.0,2024-132,28.22,35.50,19.00,,,92.00,35.00,0.50,0.00,,M
5/12/2024,7498.0,2024-133,26.99,36.00,20.00,,,90.00,36.00,0.50,0.00,,M
5/13/2024,5066.0,2024-134,18.24,36.00,19.50,,,95.00,51.00,0.50,0.00,,M
5/14/2024,8070.6,2024-135,29.05,36.00,19.00,,,98.50,36.30,0.50,0.00,,M
5/15/2024,2813.0,2024-136,10.13,31.00,19.50,,,97.00,57.00,0.50,0.00,,M
5/16/2024,6051.0,2024-137,21.78,34.00,20.00,,,98.00,58.00,0.50,0.00,,M
5/17/2024,1387.0,2024-138,4.99,34.00,22.00,,,97.00,92.00,0.50,0.00,,M
5/18/2024,5233.0,2024-139,18.84,33.00,19.10,,,92.00,39.00,0.50,0.00,,M
5/19/2024,5360.0,2024-140,19.30,32.00,19.50,,,98.00,60.00,0.50,0.00,,M
5/20/2024,7275.0,2024-141,26.19,36.50,19.50,,,99.00,48.00,0.50,0.00,,M
5/21/2024,1452.0,2024-142,5.23,27.80,19.50,,,96.00,70.00,0.50,0.00,,M
5/22/2024,7275.0,2024-143,26.19,34.50,17.00,,,99.00,48.00,0.50,0.00,,M
5/23/2024,4349.0,2024-144,15.66,36.00,18.00,,,98.00,67.00,0.50,0.00,,M
5/24/2024,3614.0,2024-145,13.01,32.00,19.50,,,98.00,75.00,0.50,0.00,,M